symbol,name,sector,mcap_cr
IRCON,IRCON International Ltd.,INFRA,17000
ITCHOTELS,ITC Hotels Ltd.,SERVICES,32192
ITC,ITC Ltd.,FMCG,560000
ITI,ITI Ltd.,SERVICES,28914
INDGN,Indegene Ltd.,HEALTHCARE,12438
INDIACEM,India Cements Ltd.,INFRA,18808
INDIAMART,Indiamart Intermesh Ltd.,SERVICES,17000
INDIANB,Indian Bank,FIN_SERVICES,45000
IEX,Indian Energy Exchange Ltd.,FIN_SERVICES,16000
INDHOTEL,Indian Hotels Co. Ltd.,SERVICES,93541
IOC,Indian Oil Corporation Ltd.,OIL_GAS,203000
IOB,Indian Overseas Bank,FIN_SERVICES,64760
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,SERVICES,42976
IRFC,Indian Railway Finance Corporation Ltd.,FIN_SERVICES,193000
IREDA,Indian Renewable Energy Development Agency Ltd.,FIN_SERVICES,36391
IGL,Indraprastha Gas Ltd.,OIL_GAS,30000
INDUSTOWER,Indus Towers Ltd.,SERVICES,114256
INDUSINDBK,IndusInd Bank Ltd.,FIN_SERVICES,95000
NAUKRI,Info Edge (India) Ltd.,SERVICES,78000
INFY,Infosys Ltd.,IT,620000
INOXWIND,Inox Wind Ltd.,INFRA,16629
INTELLECT,Intellect Design Arena Ltd.,IT,9882
INDIGO,InterGlobe Aviation Ltd.,SERVICES,173249
IGIL,International Gemological Institute Ltd.,SERVICES,16476
IKS,Inventurus Knowledge Solutions Ltd.,IT,32000
IPCALAB,Ipca Laboratories Ltd.,HEALTHCARE,27000
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,HEALTHCARE,21000
JKCEMENT,J.K. Cement Ltd.,INFRA,22000
JBMA,JBM Auto Ltd.,AUTO,15120
JKTYRE,JK Tyre & Industries Ltd.,AUTO,11363
JMFINANCIL,JM Financial Ltd.,FIN_SERVICES,9500
JSWCEMENT,JSW Cement Ltd.,INFRA,17635
JSWDULUX,JSW Dulux Ltd.,CONSR_DURBL,13251
JSWENERGY,JSW Energy Ltd.,ENERGY,101153
JSWINFRA,JSW Infrastructure Ltd.,SERVICES,58142
JSWSTEEL,JSW Steel Ltd.,METAL,228000
JAINREC,Jain Resource Recycling Ltd.,METAL,13781
JPPOWER,Jaiprakash Power Ventures Ltd.,ENERGY,8500
J&KBANK,Jammu & Kashmir Bank Ltd.,FIN_SERVICES,15434
JINDALSAW,Jindal Saw Ltd.,INFRA,17000
JSL,Jindal Stainless Ltd.,METAL,59963
JINDALSTEL,Jindal Steel Ltd.,METAL,78000
JIOFIN,Jio Financial Services Ltd.,FIN_SERVICES,158918
JUBLFOOD,Jubilant Foodworks Ltd.,SERVICES,28284
JUBLINGREA,Jubilant Ingrevia Ltd.,PHARMA,10994
JUBLPHARMA,Jubilant Pharmova Ltd.,HEALTHCARE,15604
JWL,Jupiter Wagons Ltd.,INFRA,12383
JYOTICNC,Jyoti CNC Automation Ltd.,INFRA,15016
KPRMILL,K.P.R. Mill Ltd.,,32411
KEI,KEI Industries Ltd.,INFRA,30000
KPITTECH,KPIT Technologies Ltd.,IT,52000
KAJARIACER,Kajaria Ceramics Ltd.,CONSR_DURBL,12000
KPIL,Kalpataru Projects International Ltd.,INFRA,18000
KALYANKJIL,Kalyan Jewellers India Ltd.,CONSR_DURBL,36709
KARURVYSYA,Karur Vysya Bank Ltd.,FIN_SERVICES,16000
KAYNES,Kaynes Technology India Ltd.,INFRA,22115
KEC,Kec International Ltd.,INFRA,13286
KFINTECH,Kfin Technologies Ltd.,FIN_SERVICES,14449
KIRLOSENG,Kirloskar Oil Eng Ltd.,INFRA,25453
KOTAKBANK,Kotak Mahindra Bank Ltd.,FIN_SERVICES,380000
KIMS,Krishna Institute of Medical Sciences Ltd.,HEALTHCARE,30721
LTF,L&T Finance Ltd.,FIN_SERVICES,70829
LTTS,L&T Technology Services Ltd.,IT,59000
LGEINDIA,LG Electronics India Ltd.,CONSR_DURBL,102997
LICHSGFIN,LIC Housing Finance Ltd.,FIN_SERVICES,29932
LTFOODS,LT Foods Ltd.,FMCG,14253
LTM,LTM Ltd.,IT,117707
LT,Larsen & Toubro Ltd.,INFRA,490000
LATENTVIEW,Latent View Analytics Ltd.,IT,6534
LAURUSLABS,Laurus Labs Ltd.,HEALTHCARE,22000
THELEELA,Leela Palaces Hotels & Resorts Ltd.,SERVICES,14018
LEMONTREE,Lemon Tree Hotels Ltd.,SERVICES,9281
LENSKART,Lenskart Solutions Ltd.,SERVICES,88316
LICI,Life Insurance Corporation of India,FIN_SERVICES,580000
LINDEINDIA,Linde India Ltd.,PHARMA,61818
LLOYDSME,Lloyds Metals And Energy Ltd.,METAL,104281
LODHA,Lodha Developers Ltd.,REALTY,128000
LUPIN,Lupin Ltd.,HEALTHCARE,78000
MMTC,MMTC Ltd.,SERVICES,9756
MRF,MRF Ltd.,AUTO,53930
MGL,Mahanagar Gas Ltd.,OIL_GAS,14000
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FIN_SERVICES,42395
M&M,Mahindra & Mahindra Ltd.,AUTO,390000
MANAPPURAM,Manappuram Finance Ltd.,FIN_SERVICES,20000
MRPL,Mangalore Refinery & Petrochemicals Ltd.,OIL_GAS,26499
MANKIND,Mankind Pharma Ltd.,HEALTHCARE,95000
MARICO,Marico Ltd.,FMCG,73000
MARUTI,Maruti Suzuki India Ltd.,AUTO,390000
MFSL,Max Financial Services Ltd.,FIN_SERVICES,59265
MAXHEALTH,Max Healthcare Institute Ltd.,HEALTHCARE,99000
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,INFRA,99236
MEESHO,Meesho Ltd.,SERVICES,88735
MINDACORP,Minda Corporation Ltd.,AUTO,14003
MSUMI,Motherson Sumi Wiring India Ltd.,AUTO,26016
MOTILALOFS,Motilal Oswal Financial Services Ltd.,FIN_SERVICES,47000
MPHASIS,MphasiS Ltd.,IT,57000
MCX,Multi Commodity Exchange of India Ltd.,FIN_SERVICES,21000
MUTHOOTFIN,Muthoot Finance Ltd.,FIN_SERVICES,61000
NATCOPHARM,NATCO Pharma Ltd.,HEALTHCARE,16000
NBCC,NBCC (India) Ltd.,INFRA,25000
NCC,NCC Ltd.,INFRA,14000
NHPC,NHPC Ltd.,ENERGY,80000
